round,test_id,canvas_pass,background_lock_pass,max_size_pass,full_range_pass,width_ratio,height_ratio,center_x_ratio,top_y_ratio,baseline_y_ratio,human_gates_status,product_status
1,CZ-CAT-006,True,True,True,True,0.355556,0.190104,0.587037,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-001,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-003,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-005,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-018,True,True,True,True,0.35463,0.190104,0.59213,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-028,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-036,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-049,True,True,True,True,0.358333,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-065,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-066,True,True,True,True,0.35463,0.190104,0.59213,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-081,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-092,True,True,True,True,0.341667,0.189583,0.598611,0.6625,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-105,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-117,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
1,RC-CAT-126,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
2,CZ-CAT-006,True,True,True,True,0.358333,0.190104,0.588426,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
2,RC-CAT-001,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
2,RC-CAT-003,True,True,True,True,0.360185,0.190104,0.589352,0.661979,0.852083,OWNER_REVIEW_REQUIRED,CANDIDATE_OWNER_REVIEW_REQUIRED
